Date,Country Code,Population
1/1/2000,ABW,90858
1/1/2001,ABW,92894
1/1/2002,ABW,94995
1/1/2003,ABW,97015
1/1/2004,ABW,98742
1/1/2005,ABW,100031
1/1/2006,ABW,100830
1/1/2007,ABW,101219
1/1/2008,ABW,101344
1/1/2009,ABW,101418
1/1/2010,ABW,101597
1/1/2011,ABW,101932
1/1/2012,ABW,102384
1/1/2000,AND,65399
1/1/2001,AND,68000
1/1/2002,AND,71639
1/1/2003,AND,75643
1/1/2004,AND,79060
1/1/2005,AND,81223
1/1/2006,AND,81877
1/1/2007,AND,81292
1/1/2008,AND,79969
1/1/2009,AND,78659
1/1/2010,AND,77907
1/1/2011,AND,77865
1/1/2012,AND,78360
1/1/2000,AFG,20595360
1/1/2001,AFG,21347782
1/1/2002,AFG,22202806
1/1/2003,AFG,23116142
1/1/2004,AFG,24018682
1/1/2005,AFG,24860855
1/1/2006,AFG,25631282
1/1/2007,AFG,26349243
1/1/2008,AFG,27032197
1/1/2009,AFG,27708187
1/1/2010,AFG,28397812
1/1/2011,AFG,29105480
1/1/2012,AFG,29824536
1/1/2000,AGO,13924930
1/1/2001,AGO,14385283
1/1/2002,AGO,14886574
1/1/2003,AGO,15421075
1/1/2004,AGO,15976715
1/1/2005,AGO,16544376
1/1/2006,AGO,17122409
1/1/2007,AGO,17712824
1/1/2008,AGO,18314441
1/1/2009,AGO,18926650
1/1/2010,AGO,19549124
1/1/2011,AGO,20180490
1/1/2012,AGO,20820525
1/1/2000,ALB,3304948
1/1/2001,ALB,3286084
1/1/2002,ALB,3263596
1/1/2003,ALB,3239385
1/1/2004,ALB,3216197
1/1/2005,ALB,3196130
1/1/2006,ALB,3179573
1/1/2007,ALB,3166222
1/1/2008,ALB,3156608
1/1/2009,ALB,3151185
1/1/2010,ALB,3150143
1/1/2011,ALB,3153883
1/1/2012,ALB,3162083
1/1/2000,ARB,277561423
1/1/2001,ARB,283493089
1/1/2002,ARB,289680968
1/1/2003,ARB,296095945
1/1/2004,ARB,302824676
1/1/2005,ARB,309824383
1/1/2006,ARB,317125787
1/1/2007,ARB,324693498
1/1/2008,ARB,332424892
1/1/2009,ARB,340149038
1/1/2010,ARB,347737036
1/1/2011,ARB,355137048
1/1/2012,ARB,362466629
1/1/2000,ARE,3026352
1/1/2001,ARE,3132104
1/1/2002,ARE,3223969
1/1/2003,ARE,3369254
1/1/2004,ARE,3658658
1/1/2005,ARE,4148883
1/1/2006,ARE,4875639
1/1/2007,ARE,5797347
1/1/2008,ARE,6798635
1/1/2009,ARE,7718319
